,Ticker,Name,Exchange
74,EURJOD=X,EUR/JOD,CCY
75,ALLEUR=X,ALL/EUR,CCY
76,881347.VI,881347.VI,VIE
77,AUDBWP=X,AUD/BWP,CCY
78,AUBEZ.SW,,
79,AUDGHS=X,AUD/GHS,CCY
80,HF52.EX,HF52.EX,EUX
81,AUDCRC=X,AUD/CRC,CCY
82,ANGCHF=X,ANG/CHF,CCY
83,EUR-KZT.F,EUR-KZT.F,FRA
84,AUDIDR=X,AUD/IDR,CCY
85,AUDQAR=X,AUD/QAR,CCY
86,AFN=X,USD/AFN,CCY
87,EUR-PEN.F,EUR-PEN.F,
88,AUDSYP=X,AUD/SYP,CCY
89,AEDCZK=X,AED/CZK,CCY
90,ARSPYG=X,ARS/PYG,CCY
91,AEDNOK=X,AED/NOK,CCY
92,AUDPLN=X,AUD/PLN,CCY
93,EUR-MUR.F,EUR-MUR.F,
94,AUDINR=X,AUD/INR,CCY
95,AEDTND=X,AED/TND,CCY
96,AEDXDR=X,AED/XDR,CCY
97,AUDXCD=X,AUD/XCD,CCY
98,EUR-BWP.F,EUR-BWP.F,
99,HU42.EX,,
100,EUR-COP.F,EUR-COP.F,
101,AUDTTD=X,AUD/TTD,CCY
102,AUDANG=X,AUD/ANG,CCY
103,AUDFJD=X,AUD/FJD,CCY
104,AEDPKR=X,AED/PKR,CCY
105,AUDEGP=X,AUD/EGP,CCY
106,ALLUSD=X,ALL/USD,CCY
107,AUDHKD=X,AUD/HKD,CCY
108,AUDKYD=X,AUD/KYD,CCY
109,AEDTRY=X,AED/TRY,CCY
110,AUDAV.SW,,
111,AEDTHB=X,AED/THB,CCY
112,AEDRUB=X,AED/RUB,CCY
113,AUDBHD=X,AUD/BHD,CCY
114,AEDPLN=X,AED/PLN,CCY
115,EURKES=X,EUR/KES,CCY
116,AEDGBP=X,AED/GBP,CCY
117,HU22.EX,,
118,AUDDOP=X,AUD/DOP,CCY
119,HU52.EX,,
120,HF32.EX,,
121,AUDSGD=X,AUD/SGD,CCY
122,EURBZD=X,EUR/BZD,CCY
123,EUR-HRK.F,EUR/HRK,FRA
124,EUR-LBP.F,EUR-LBP.F,
125,AUDUYU=X,AUD/UYU,CCY
126,AUDMUR=X,AUD/MUR,CCY
127,AUHOE.SW,,
128,EUR-KES.F,EUR-KES.F,
129,AEDILS=X,AED/ILS,CCY
130,EURKZT=X,EUR/KZT,CCY
131,AUDERN=X,AUD/ERN,CCY
132,IACWE.NX,,
133,EURTRY=X,EUR/TRY,CCY
134,AUDLTL=X,AUD/LTL,CCY
135,ARSUYU=X,ARS/UYU,CCY
136,C3AR.EX,,
137,EURCOP=X,EUR/COP,CCY
138,AOAUSD=X,AOA/USD,CCY
139,AFNCHF=X,AFN/CHF,CCY
140,AUDCNH=X,AUD/CNH,CCY
141,ARSPEN=X,ARS/PEN,CCY
142,EUR-BMD.F,EUR-BMD.F,
143,11150067.DE,,
144,ARSCHF=X,ARS/CHF,CCY
145,AZN=X,USD/AZN,CCY
146,AUDAED=X,AUD/AED,CCY
147,AUDMYR=X,AUD/MYR,CCY
148,AUDNOK=X,AUD/NOK,CCY
149,29134330=X,,
150,EURBWP=X,EUR/BWP,CCY
151,AUDBZD=X,AUD/BZD,CCY
152,ARSBRL=X,ARS/BRL,CCY
153,ANGGBP=X,ANG/GBP,CCY
154,EUR-BOB.F,EUR-BOB.F,
155,EUR-UYU.F,EUR-UYU.F,FRA
